pressureTimestamp,pressure
95903000,-154.562
95903000,-154.562
95933092,-154.562
95957092,-154.562
95981256,-164.234
96005228,-164.234
96029092,-164.234
96059004,-173.898
96083000,-164.234
96107000,-154.562
96131180,-164.234
96155004,-164.234
96185004,-164.234
96209004,-164.234
96233004,-154.562
96257004,-154.562
96287004,-154.562
96311164,-164.234
96335000,-164.234
96359004,-164.234
96383004,-154.562
96383004,-154.562
96413096,-164.234
96437096,-164.234
96461260,-154.562
96485128,-173.898
96509120,-164.234
96539004,-164.234
96563004,-164.234
96587004,-154.562
96611168,-154.562
96635004,-164.234
96665004,-164.234
96719008,-154.562
96743008,-154.562
96743008,-154.562
96773096,-154.562
96797096,-164.234
96821284,-164.234
96845100,-164.234
96869100,-164.234
96899008,-164.234
96923008,-154.562
96947008,-154.562
96971172,-154.562
96995008,-164.234
97025008,-154.562
97049008,-154.562
97073008,-164.234
97097008,-154.562
97127008,-212.57
97151160,-183.562
97175020,-231.914
97199008,-231.914
97223008,-231.914
97223008,-231.914
97253100,-231.914
97277100,-222.242
97301264,-231.914
97325100,-222.242
97349100,-212.57
97379008,-222.242
97403008,-164.234
97427008,-164.234
97451164,-154.562
97475008,-154.562
97505172,-164.234
97529012,-173.898
97553012,-173.898
97577012,-154.562
97607012,-164.234
97631176,-154.562
97679012,-212.57
97703012,-222.242
97703012,-222.242
97733104,-212.57
97757104,-222.242
97781268,-193.227
97805104,-222.242
97829104,-222.242
97859012,-231.914
97883012,-222.242
